date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2015-01-02 22:00:00,119.886,120.433,120.736,119.8,119.911,120.567,120.748,119.814,171844
2015-01-04 22:00:00,120.433,120.46,120.476,120.281,120.567,120.539,120.589,120.325,1085
2015-01-05 22:00:00,120.46,119.628,120.641,119.368,120.539,119.651,120.719,119.381,311487
2015-01-06 22:00:00,119.628,118.386,119.628,118.047,119.651,118.465,119.649,118.061,407798
2015-01-07 22:00:00,118.386,119.244,119.642,118.36,118.465,119.267,119.654,118.446,379830
2015-01-08 22:00:00,119.244,119.602,119.956,119.151,119.267,119.731,119.971,119.168,293058
2015-01-09 22:00:00,119.602,118.489,119.872,118.41,119.731,118.606,119.888,118.425,383826
2015-01-11 22:00:00,118.489,118.325,118.403,118.186,118.606,118.354,118.474,118.225,1714
2015-01-12 22:00:00,118.325,118.324,119.314,118.094,118.354,118.391,119.327,118.108,296588
2015-01-13 22:00:00,118.324,117.909,118.844,117.53,118.391,117.941,118.855,117.545,398277
2015-01-14 22:00:00,117.909,117.32,117.95,116.064,117.941,117.339,117.972,116.079,461771
2015-01-15 22:00:00,117.32,116.144,117.937,116.136,117.339,116.175,117.95,116.165,633133
2015-01-16 22:00:00,116.144,117.542,117.763,115.846,116.175,117.674,117.78,115.861,510500
2015-01-18 22:00:00,117.542,117.435,117.514,117.31,117.674,117.477,117.555,117.433,729
2015-01-19 22:00:00,117.435,117.537,117.778,116.914,117.477,117.573,117.793,116.932,312356
2015-01-20 22:00:00,117.537,118.788,118.86,117.539,117.573,118.839,118.876,117.577,380187
2015-01-21 22:00:00,118.788,117.949,118.824,117.173,118.839,117.973,118.857,117.191,387093
2015-01-22 22:00:00,117.949,118.472,118.661,117.242,117.973,118.499,118.676,117.261,367223
2015-01-23 22:00:00,118.472,117.726,118.809,117.53,118.499,117.821,118.824,117.548,376185
2015-01-25 22:00:00,117.726,117.51,117.602,117.484,117.821,117.529,117.653,117.517,1368
2015-01-26 22:00:00,117.51,118.428,118.496,117.257,117.529,118.472,118.51,117.276,270868
2015-01-27 22:00:00,118.428,117.85,118.653,117.33,118.472,117.883,118.667,117.343,306593
2015-01-28 22:00:00,117.85,117.529,118.256,117.245,117.883,117.604,118.275,117.26,331115
2015-01-29 22:00:00,117.529,118.243,118.486,117.379,117.604,118.292,118.499,117.387,335591
2015-01-30 22:00:00,118.243,117.522,118.455,117.293,118.292,117.581,118.467,117.307,335629
2015-02-01 22:00:00,117.522,116.881,117.078,116.767,117.581,116.972,117.095,116.794,5274
